time,temperature,humidity
시간,온도,습도
30.02H,18.2,81
30.01H,18.4,78
30.00H,18.8,77
29.23H,19.2,74
29.22H,19.5,71
29.21H,19.9,70
29.20H,20.5,67
29.19H,21.1,61
29.18H,21.8,56
29.17H,22.7,52
29.16H,23.7,51
29.15H,23.2,48
29.14H,22.7,49
29.13H,22.5,46
29.12H,22.9,50
29.11H,22.0,57
29.10H,20.1,71
29.09H,17.8,80
29.08H,16.3,84
29.07H,15.4,85
29.06H,15.5,84
29.05H,16.0,81
29.04H,16.5,78
29.03H,17.0,76
29.02H,17.8,80
29.01H,18.4,78
29.00H,19.0,75
28.23H,19.1,67
28.22H,19.7,66
28.21H,20.2,66
28.20H,21.3,61
28.19H,22.2,56
28.18H,23.4,53
28.17H,24.8,50
28.16H,26.3,44
28.15H,26.3,43
28.14H,25.8,46
28.13H,24.8,48
28.12H,25.0,54
28.11H,23.1,60
28.10H,21.4,67
28.09H,19.3,72
28.08H,17.0,82
28.07H,15.7,85
28.06H,15.8,86
28.05H,16.0,84
28.04H,16.1,82
28.03H,16.7,79
